Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;0
101 jaar;0;0
100 jaar;0;0
99 jaar;0;0
98 jaar;0;0
97 jaar;0;0
96 jaar;0;0
95 jaar;0;0
94 jaar;0;0
93 jaar;0;1 000
92 jaar;1 000;1 000
91 jaar;1 000;1 000
90 jaar;1 000;2 000
89 jaar;2 000;3 000
88 jaar;2 000;3 000
87 jaar;3 000;4 000
86 jaar;4 000;5 000
85 jaar;5 000;6 000
84 jaar;7 000;8 000
83 jaar;8 000;10 000
82 jaar;10 000;11 000
81 jaar;11 000;13 000
80 jaar;13 000;15 000
79 jaar;14 000;17 000
78 jaar;16 000;18 000
77 jaar;18 000;21 000
76 jaar;19 000;22 000
75 jaar;22 000;25 000
74 jaar;24 000;27 000
73 jaar;26 000;29 000
72 jaar;28 000;31 000
71 jaar;29 000;33 000
70 jaar;30 000;34 000
69 jaar;32 000;36 000
68 jaar;34 000;39 000
67 jaar;35 000;39 000
66 jaar;39 000;43 000
65 jaar;39 000;44 000
64 jaar;41 000;46 000
63 jaar;44 000;49 000
62 jaar;45 000;50 000
61 jaar;46 000;51 000
60 jaar;47 000;52 000
59 jaar;49 000;54 000
58 jaar;52 000;56 000
57 jaar;54 000;58 000
56 jaar;55 000;59 000
55 jaar;57 000;61 000
54 jaar;58 000;62 000
53 jaar;59 000;63 000
52 jaar;61 000;64 000
51 jaar;62 000;66 000
50 jaar;63 000;66 000
49 jaar;62 000;65 000
48 jaar;61 000;65 000
47 jaar;66 000;69 000
46 jaar;66 000;69 000
45 jaar;68 000;70 000
44 jaar;64 000;66 000
43 jaar;66 000;68 000
42 jaar;65 000;67 000
41 jaar;64 000;65 000
40 jaar;65 000;67 000
39 jaar;77 000;80 000
38 jaar;75 000;78 000
37 jaar;75 000;77 000
36 jaar;77 000;79 000
35 jaar;75 000;78 000
34 jaar;74 000;76 000
33 jaar;74 000;75 000
32 jaar;74 000;75 000
31 jaar;76 000;77 000
30 jaar;76 000;76 000
29 jaar;79 000;78 000
28 jaar;78 000;77 000
27 jaar;79 000;78 000
26 jaar;77 000;75 000
25 jaar;78 000;76 000
24 jaar;78 000;76 000
23 jaar;80 000;77 000
22 jaar;80 000;77 000
21 jaar;84 000;81 000
20 jaar;85 000;83 000
19 jaar;87 000;85 000
18 jaar;86 000;82 000
17 jaar;90 000;86 000
16 jaar;98 000;93 000
15 jaar;102 000;97 000
14 jaar;96 000;92 000
13 jaar;135 000;129 000
12 jaar;129 000;123 000
11 jaar;122 000;115 000
10 jaar;116 000;110 000
9 jaar;113 000;107 000
8 jaar;112 000;106 000
7 jaar;115 000;109 000
6 jaar;113 000;108 000
5 jaar;114 000;108 000
4 jaar;114 000;109 000
3 jaar;116 000;110 000
2 jaar;118 000;112 000
1 jaar;119 000;113 000
0 jaar;122 000;117 000
