Leeftijd;Mannen;Vrouwen
105 jaar of ouder
;0;0
104 jaar;0;0
103 jaar;0;0
102 jaar;0;1 000
101 jaar;0;1 000
100 jaar;1 000;2 000
99 jaar;1 000;2 000
98 jaar;2 000;4 000
97 jaar;3 000;5 000
96 jaar;4 000;8 000
95 jaar;6 000;12 000
94 jaar;8 000;15 000
93 jaar;16 000;26 000
92 jaar;20 000;31 000
91 jaar;23 000;35 000
90 jaar;27 000;40 000
89 jaar;32 000;45 000
88 jaar;37 000;50 000
87 jaar;44 000;57 000
86 jaar;49 000;62 000
85 jaar;54 000;67 000
84 jaar;59 000;73 000
83 jaar;66 000;78 000
82 jaar;71 000;83 000
81 jaar;76 000;88 000
80 jaar;82 000;94 000
79 jaar;86 000;97 000
78 jaar;92 000;102 000
77 jaar;95 000;106 000
76 jaar;100 000;109 000
75 jaar;104 000;112 000
74 jaar;105 000;112 000
73 jaar;105 000;112 000
72 jaar;107 000;113 000
71 jaar;109 000;116 000
70 jaar;116 000;122 000
69 jaar;115 000;121 000
68 jaar;112 000;117 000
67 jaar;107 000;113 000
66 jaar;101 000;106 000
65 jaar;99 000;103 000
64 jaar;96 000;100 000
63 jaar;97 000;100 000
62 jaar;97 000;100 000
61 jaar;100 000;102 000
60 jaar;101 000;103 000
59 jaar;105 000;107 000
58 jaar;105 000;107 000
57 jaar;104 000;106 000
56 jaar;105 000;106 000
55 jaar;109 000;109 000
54 jaar;111 000;112 000
53 jaar;115 000;116 000
52 jaar;117 000;116 000
51 jaar;118 000;118 000
50 jaar;120 000;120 000
49 jaar;126 000;124 000
48 jaar;127 000;125 000
47 jaar;127 000;125 000
46 jaar;127 000;125 000
45 jaar;129 000;126 000
44 jaar;127 000;124 000
43 jaar;129 000;124 000
42 jaar;130 000;126 000
41 jaar;134 000;129 000
40 jaar;136 000;130 000
39 jaar;138 000;133 000
38 jaar;137 000;131 000
37 jaar;137 000;130 000
36 jaar;137 000;130 000
35 jaar;133 000;126 000
34 jaar;131 000;123 000
33 jaar;129 000;121 000
32 jaar;126 000;120 000
31 jaar;128 000;121 000
30 jaar;127 000;120 000
29 jaar;125 000;119 000
28 jaar;122 000;116 000
27 jaar;119 000;113 000
26 jaar;115 000;110 000
25 jaar;115 000;111 000
24 jaar;112 000;108 000
23 jaar;111 000;108 000
22 jaar;109 000;106 000
21 jaar;106 000;104 000
20 jaar;105 000;103 000
19 jaar;102 000;99 000
18 jaar;103 000;99 000
17 jaar;94 000;90 000
16 jaar;92 000;88 000
15 jaar;92 000;88 000
14 jaar;91 000;87 000
13 jaar;92 000;88 000
12 jaar;92 000;88 000
11 jaar;94 000;90 000
10 jaar;95 000;91 000
9 jaar;97 000;93 000
8 jaar;98 000;94 000
7 jaar;99 000;95 000
6 jaar;100 000;96 000
5 jaar;101 000;97 000
4 jaar;102 000;97 000
3 jaar;102 000;98 000
2 jaar;102 000;98 000
1 jaar;102 000;97 000
0 jaar;102 000;97 000
